City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
222,kanigoro,-8.13,112.219,73.99,80,100,2.95,ID,2021-01-23 22:44:44,overcast clouds
223,thompson,55.7435,-97.8558,-9.4,70,90,10.36,CA,2021-01-23 22:41:18,light snow
224,anadyr,64.75,177.4833,-18.0,76,0,8.95,RU,2021-01-23 22:42:56,clear sky
225,beringovskiy,63.05,179.3167,-8.1,87,0,2.44,RU,2021-01-23 22:44:45,clear sky
226,makat,47.6469,53.3463,31.66,99,100,9.93,KZ,2021-01-23 22:44:45,overcast clouds
227,esperance,-33.8667,121.9,66.2,82,90,10.36,AU,2021-01-23 22:41:28,overcast clouds
228,menongue,-14.6585,17.691,67.06,73,98,3.4,AO,2021-01-23 22:44:45,overcast clouds
229,tezu,27.9167,96.1667,59.76,52,64,2.26,IN,2021-01-23 22:44:46,broken clouds
230,tura,25.5198,90.2201,56.46,64,100,2.21,IN,2021-01-23 22:44:46,overcast clouds
231,wanning,18.8003,110.3967,64.81,89,54,1.3,CN,2021-01-23 22:44:46,broken clouds
232,corowa,-36.0333,146.3833,81.0,34,47,5.75,AU,2021-01-23 22:44:46,scattered clouds
233,verkhoyansk,67.5447,133.385,-42.12,77,97,0.65,RU,2021-01-23 22:43:00,overcast clouds
234,bobrovka,54.047,61.7455,-12.84,88,89,9.33,RU,2021-01-23 22:44:46,overcast clouds
235,fevik,58.3794,8.6766,33.01,100,90,3.44,NO,2021-01-23 22:44:47,light rain
236,palmer,42.1584,-72.3287,21.0,52,0,5.99,US,2021-01-23 22:42:13,clear sky
237,richards bay,-28.783,32.0377,79.68,77,0,12.1,ZA,2021-01-23 22:43:07,clear sky
238,lorengau,-2.0226,147.2712,84.06,64,82,3.11,PG,2021-01-23 22:37:39,broken clouds
239,laguna,38.421,-121.4238,55.99,67,20,3.44,US,2021-01-23 22:41:56,few clouds
240,leningradskiy,69.3833,178.4167,-14.46,83,71,2.84,RU,2021-01-23 22:41:25,broken clouds
241,husavik,66.0449,-17.3389,30.2,86,90,23.02,IS,2021-01-23 22:41:49,snow
242,aitape,-3.1374,142.3475,82.6,71,96,3.42,PG,2021-01-23 22:44:48,light rain
243,berlevag,70.8578,29.0864,21.63,95,100,26.87,NO,2021-01-23 22:44:48,light snow
244,saint-francois,46.4154,3.9054,39.2,81,90,11.5,FR,2021-01-23 22:42:00,overcast clouds
245,madras,13.0878,80.2785,73.4,94,40,2.86,IN,2021-01-23 22:44:11,mist
246,luderitz,-26.6481,15.1594,71.83,41,90,27.42,NA,2021-01-23 22:41:56,overcast clouds
247,cockburn town,21.4612,-71.1419,80.6,65,40,6.91,TC,2021-01-23 22:39:24,scattered clouds
248,coquimbo,-29.9533,-71.3436,68.0,68,20,11.5,CL,2021-01-23 22:37:43,few clouds
249,colares,38.7992,-9.4469,59.0,100,100,18.99,PT,2021-01-23 22:44:49,overcast clouds
250,kollam,8.8833,76.6,78.8,89,20,8.23,IN,2021-01-23 22:44:49,mist
251,sao felix do xingu,-6.6447,-51.995,76.59,79,16,3.6,BR,2021-01-23 22:42:50,few clouds
252,dauriya,49.9333,116.8667,4.75,86,98,2.26,RU,2021-01-23 22:44:49,overcast clouds
253,belyy yar,53.6039,91.3903,-2.2,78,100,4.97,RU,2021-01-23 22:41:48,overcast clouds
254,severo-yeniseyskiy,60.3725,93.0408,-17.12,89,100,2.89,RU,2021-01-23 22:44:49,overcast clouds
255,poltsamaa,58.6525,25.9706,35.01,93,90,10.36,EE,2021-01-23 22:44:50,light rain
256,kuala terengganu,5.3302,103.1408,75.2,94,20,2.3,MY,2021-01-23 22:44:50,few clouds
257,mantua,45.1667,10.7833,39.99,97,83,4.0,IT,2021-01-23 22:41:25,broken clouds
258,ketchikan,55.3422,-131.6461,32.0,93,90,10.36,US,2021-01-23 22:44:50,light snow
259,san patricio,28.017,-97.5169,68.0,100,90,12.66,US,2021-01-23 22:42:08,fog
260,serebryanyy bor,56.8,124.8,-40.22,79,25,2.46,RU,2021-01-23 22:44:50,scattered clouds
261,naze,28.3667,129.4833,66.2,77,75,14.97,JP,2021-01-23 22:41:17,broken clouds
262,kasongo-lunda,-6.4667,16.8167,71.4,87,100,0.67,CD,2021-01-23 22:44:50,overcast clouds
263,iwanai,42.9744,140.5089,17.6,95,38,6.15,JP,2021-01-23 22:42:19,scattered clouds
264,nalut,30.3333,10.85,47.8,55,5,4.85,LY,2021-01-23 22:42:27,clear sky
