City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Raymore,US,2021-01-19 17:02:47,38.8019,-94.4527,39.0,65,1,12.66
241,Lata,PT,2021-01-19 17:06:26,40.1629,-8.3327,55.99,83,100,5.99
242,Koslan,RU,2021-01-19 17:06:26,63.4564,48.8989,8.06,95,100,7.9
243,Praia Da Vitoria,PT,2021-01-19 17:06:27,38.7333,-27.0667,62.6,63,40,24.38
244,Nioro,GM,2021-01-19 17:06:27,13.35,-15.75,98.49,8,0,7.99
245,Neiafu,TO,2021-01-19 17:06:27,-18.65,-173.9833,75.2,94,75,7.31
246,Itamarandiba,BR,2021-01-19 17:06:27,-17.8572,-42.8589,74.93,75,18,6.29
247,Lorengau,PG,2021-01-19 17:06:27,-2.0226,147.2712,81.99,76,76,7.61
248,Nha Trang,VN,2021-01-19 17:06:27,12.25,109.1833,73.4,68,40,8.05
249,Necochea,AR,2021-01-19 17:01:52,-38.5473,-58.7368,81.7,38,0,11.03
250,Kavieng,PG,2021-01-19 17:06:28,-2.5744,150.7967,81.32,78,100,11.74
251,Riesi,IT,2021-01-19 17:06:28,37.2819,14.0823,53.6,62,0,4.61
252,Luba,GQ,2021-01-19 17:06:28,3.4568,8.5547,84.2,79,20,8.05
253,Mackay,AU,2021-01-19 17:01:37,-21.15,149.2,71.6,94,40,4.61
254,Kargala,RU,2021-01-19 17:06:28,56.6208,83.9607,-17.77,88,68,6.04
255,Srednekolymsk,RU,2021-01-19 17:06:29,67.45,153.6833,-44.34,79,44,5.01
256,Jennings,US,2021-01-19 17:06:29,38.7192,-90.2604,39.0,86,40,8.05
257,Ochamchira,GE,2021-01-19 17:06:29,42.7121,41.4721,37.49,77,40,3.69
258,Shizuishan,CN,2021-01-19 17:06:29,39.2333,106.7694,22.55,70,0,3.96
259,Dagana,MR,2021-01-19 17:06:29,16.5165,-15.5068,89.6,17,47,4.61
260,Jieshi,CN,2021-01-19 17:06:29,22.8134,115.8257,58.89,74,83,20.62
261,Coihaique,CL,2021-01-19 17:06:29,-45.5752,-72.0662,73.4,46,20,8.05
262,Mircea Voda,RO,2021-01-19 17:06:30,44.2833,28.1667,25.0,93,38,5.75
263,High Prairie,CA,2021-01-19 17:06:30,55.4334,-116.4858,32.0,59,100,18.41
